LOT,LOW,HIGH,DESCRIPT,TYPESET,FOOTNOTE,CROSSHEAD,REFNO
77,2500,3500,ZAO WOU-KI Sans titre.,"ZAO WOU-KI
Sans titre.

Color etching and aquatint on Arches, 1969. 575x415 mm; 22¾x16¼ inches, full margins. Signed, dated and numbered 83/95 in pencil, lower margin (Ågerup calls for an edition of 99, but we have located only numbered impressions from an edition of 95 and artist's proofs at auction). Printed by Lacourière and Frélaut, Paris, with the blind stamp, lower left. Published by London Graphic, Ltd., London. A very good impression with strong colors. Ågerup 204.",,,773560
78,2500,3500,ZAO WOU-KI Sans titre.,"ZAO WOU-KI
Sans titre.

Color aquatint and etching on Rives BFK, 1968. 425x526 mm; 17x20¾ inches, full margins. Signed, dated and numbered 71/95 in pencil, lower margin (Ågerup calls for an edition of 99, but we have located only numbered impressions from an edition of 95 and artist's proofs at auction). Printed by Imprimerie Arte, Paris. Published by Al Lublin, New York. A very good impression with strong colors. Ågerup 193.",,,773561
79,3000,5000,ZOU WOU-KI Sans titre.,"ZOU WOU-KI
Sans titre.

Color lithograph on Arches, 1970. 443x635 mm; 17½x25 inches, full margins. Signed, dated and numbered 21/125 in pencil, lower margin. Printed by Desjobert, Paris. Published by Pierre Hautot, Paris. A very good impression. Ågerup 207.",,,774296
80,3000,5000,ZOU WOU-KI Sans titre.,"ZOU WOU-KI
Sans titre.

Color lithograph on Rives, 1970. 448x638 mm; 17x25 inches, full margins. Artist's proof, aside from the edition of 99. Signed, dated and inscribed ""E.A."" in pencil, lower margin. Printed by Desjobert, Paris. Published by Raymond and Raymond, New York. A very good impression. Ågerup 205.",,,774295
81,4000,6000,ZAO WOU-KI Suite Olympique Centennal.,"ZAO WOU-KI
Suite Olympique Centennal.

Color lithograph on Arches, 1992. 752x535 mm; 29x21 inches, full margins. Signed and numbered 229/250 in pencil, lower margin. Printed by Art Estampe, Paris. Published by Ediciones Catalanes, Barcelona. A superb impression with vibrant colors. Ågerup 358.",,,776745
82,1000,1500,ULFERT WILKE Three portfolios.,"ULFERT WILKE
Three portfolios.

One, Two and More, with complete text and 24 color collotypes, 1960. Edition of 400. Printed by The Kuroyama Collotype Printing Co., Kyoto. Original linen and pasteboard portfolio * Fragments from Nowhere, with complete text and 19 color offset lithographs, 1961. Signed and numbered 149/200 in ink on the title page. Original pasteboard portfolio with lithograph * Music to be Seen. Complete set of 24 color block relief prints, 1957. Edition of 350. Various sizes and conditions. Very good impressions. With—EDWARD COLKER, Five Poems by James Collins, portfolio with complete text and 5 etchings with aquatint, 1962. Edition of 25. Each etching signed in pencil, lower right. Signed, dedicated, dated and numbered 8 on the justification page. Original pasteboard portfolio.",,,774502
83,1200,1800,HANS HARTUNG L 12.,"HANS HARTUNG
L 12.

Color lithograph on Rives BFK, 1957. 498x300 mm; 19x11 inches, full margins. Signed and numbered 25/100 in pencil, lower margin. Printed by Jean Pons, Paris. Published by Berggruen, Paris. A very good impression. Schmücking 75.",,,774257
84,1000,1500,HANS HARTUNG L 18.,"HANS HARTUNG
L 18.

Lithograph on Rives BFK, 1957. 505x320 mm; 20x12 inches, full margins. Signed and numbered 16/50 in pencil, lower margin. Printed by Jean Pons, Paris. Published by Berggruen, Paris. A very good impression. Schmücking 18.",,,776500
85,1200,1800,HANS HARTUNG L 26.,"HANS HARTUNG
L 26.

Color lithograph on Rives BFK, 1957. 500x305 mm; 19x12 inches, full margins. Signed and numbered 28/100 in pencil, lower margin. Printed by Jean Pons, Paris. Published by Marbach, Bern. A very good impression with strong colors. Schmücking 26.",,,776737
86,1500,2500,HANS HARTUNG 16.,"HANS HARTUNG
16.

Etching on Arches, 1953. 413x327 mm; 16½x13 inches, full margins. Signed and numbered 20/75 in pencil, lower margin. Printed and published by Lacourière, Paris. A superb, richly-inked impression of this very scarce, early etching.",,,774803
87,1500,2500,HANS HARTUNG L 1971-72.,"HANS HARTUNG
L 1971-72.

Color lithograph on Rives BFK. 1971. 435x590 mm; 17¼x23¼ inches, full margins. Second state (of 2). Signed and numbered 44/200 in pencil, lower margin. Printed by Maeght, Paris. Published by Cercle Graphique Européen, Amsterdam, with the blind stamp, lower left. A very good impression. Mason 346.",,,774550
88,8000,12000,PIERRE SOULAGES Sérigraphie 16.,"PIERRE SOULAGES
Sérigraphie 16.

Color screenprint on white wove paper, 1981. 1050x745 mm; 41x29 inches (sheet), full margins. Signed and numbered 16/250 in pencil, lower right. Printed by Michael Cass, Cergy. Published by Circle Fine Arts Inc., Chicago. A very good impression with vibrant colors. Encrevé 108.",,,776669
89,3000,5000,SOHAN QADRI Untitled No. 41/87.,"SOHAN QADRI
Untitled No. 41/87.

Ink and dyes on Van Gelder paper, 1987. 495x325 mm; 19½x12¾ inches. Signed in pencil, lower center recto, and inscribed ""No. 41/87"" in pencil, verso. With--Untitled (9 Nov. 1979), color etching and aquatint with embossing on Fabriano, 1979. 300x295 mm; 11¾x11½ inches, full margins. Signed and inscribed ""A 48/55 CS 2/2"" in pencil, lower margin and dedicated and dated in pencil, verso.Both gifted by the artist to the current owner, private collection, New York.",,,775692
90,10000,15000,SHANTI DAVE Forms in the Dark.,"SHANTI DAVE
Forms in the Dark.

Oil and encaustic on canvas, 1962. 600x795 mm; 23½x31¼ inches. Signed and dated in oil, upper right recto.Ex-collection private collection, New York.",,,775960
91,2000,3000,KRISHNA REDDY Flight.,"KRISHNA REDDY
Flight.

Mixed color intaglio on paper, 1963. 332x489 mm; 13x19¼ inches, full margins. Artist's proof, aside from the edition of 65. Signed, titled and inscribed ""Epreuve d'Essai"" in pencil, lower margin. A superb impression of this very scarce print with strong colors.According to Reddy (1925-2018), ""I tried to realize the maximum impact of an object flying and to build that experience in a plate. This required finding new ways and new materials. A series of deep-bitten structures were made on the plate and printed in contact process by juxtaposition of streaks of colors,"" (Krishna Reddy: A Retrospective, Bronx Museum of the Arts, New York, 1981, page 69).",,,776874
92,2000,3000,FRIEDENSREICH HUNDERTWASSER Rain Drop Counter.,"FRIEDENSREICH HUNDERTWASSER
Rain Drop Counter. 

Color lithograph and screenprint with metal imprints, 1981. 560x760 mm; 22x30 inches (sheet), full margins. Signed, dated and numbered 105/247 in black ink, lower right. Printed by Claudio Barbato, Spinea-Venice. Published by Gruener Janura AG, Glarus. A superb impression with strong colors. Koschatzky 80.",,,774880
93,1000,1500,FRIEDENSREICH HUNDERTWASSER Hommage à Schröder-Sonnenstern.,"FRIEDENSREICH HUNDERTWASSER
Hommage à Schröder-Sonnenstern.

Color screenprint with metal imprints and an electrostatic application of felt fibrils on heavy tan wove paper, 1972. 890x600 mm; 35x23½ inches, full margins. With the stamped signature of Hundertwasser and Schröder-Sonnenstern, the stamped numbers 01973/4200, the printer and publisher stamps, the serial number ""715,"" the stamp ""Sonnenstern 09/11/1972 80 Birthday,"" the artist emblem of Schröder-Sonnenstern. Printed by Dietz Offizin, Lengmoos. Published by Ars Viva, Zurich. A very good impression. Koschatzky 56.",,,771320
94,1500,2500,JEAN ARP Sans titre (1966-1).,"JEAN ARP
Sans titre (1966-1).

Color lithograph on Rives BFK, 1966. 570x390 mm; 22½x15 inches, full margins. Signed and numbered 48/100 in pencil, lower margin. Printed by Editions Lafranca, Cerentino, Switzerland, with the blind stamp, lower left. A very good impression.",,,775713
95,1200,1800,SONIA DELAUNAY Sans titre.,"SONIA DELAUNAY
Sans titre.

Color lithograph on Arches, circa 1969. 620x510 mm; 24½x20¼ inches, full margins. One of 25 numbered artist's proofs, aside from the edition of 75. Signed, inscribed ""A.P."" and numbered 25/25 in pencil, lower margin. A very good impression.",,,774931
96,1500,2500,"SONIA DELAUNAY Gravure II (Composition Rouge, vert, bleu et noir).","SONIA DELAUNAY
Gravure II (Composition Rouge, vert, bleu et noir).

Color aquatint and etching on Arches, 1970. 455x412 mm; 21½x16¼ inches. Signed and numbered 65/100 in pencil, lower margin. Published by Edition Lacourière, Paris, with the blind stamp lower left. A very good impression with strong colors.",,,774865
97,7000,10000,ALEXANDER CALDER Presenza Grafica.,"ALEXANDER CALDER
Presenza Grafica.

Color aquatint and etching on Fabriano Rosaspina paper, 1972. 950x955 mm; 37½x37 inches (sheet), full margins. Signed and numbered 38/90 in pencil, lower margin. Printed and published by 2RC Edizioni d'Arte, Rome, with the blind stamp lower right. A very good, richly-inked impression of this large, extremely scarce color print.Calder's (1898-1976) largest intaglio print. We have found only 5 other impressions at auction in the past 30 years.",,,775957
98,4000,6000,ALEXANDER CALDER Puppet Man.,"ALEXANDER CALDER
Puppet Man.

Color lithograph on Arches, 1960. 1018x355 mm; 40x14 inches, full margins.  Signed and numbered 63/75 in pencil, lower margin. Published by Bank Street Atelier, Ltd., New York. A very good impression of this large lithograph with strong colors.",,,776640
99,2000,3000,ALEXANDER CALDER Lion Tamer.,"ALEXANDER CALDER
Lion Tamer.

Color lithograph, circa 1974. 530x710 mm; 20¾x28 inches, full margins. Signed and numbered 63/75 in pencil, lower margin. A very good impression with strong colors.",,,774155
100,2500,3500,ALEXANDER CALDER Our Unfinished Revolution (Animals).,"ALEXANDER CALDER
Our Unfinished Revolution (Animals).

Color lithograph on Arches, 1975-76. 555x760 mm; 21x30 inches (sheet), full margins. Signed and numbered 2/175 in pencil, lower margin. Printed by Mourlot, Paris. Published by Alba Editions, Inc., New York. From the same-titled portfolio. A very good impression with vibrant colors.The Our Unfinished Revolution portfolio (see lots 109-112) was created to aid the National Emergency Civil Liberties Committee on its 25th anniversary.",,,771655
101,10000,15000,ALEXANDER CALDER Untitled (Giraffe).,"ALEXANDER CALDER
Untitled (Giraffe).

Crayon and pencil on paper, 1966. 690x905 mm; 26x35 inches. Initialed in pencil, lower right recto.Gifted by the artist to Giovanni Carandente, Rome, 1966; thence by descent to current owner, private collection, 2009; sold Sotheby's, New York, September 21, 2012, sale 8875, lot 212; sold Kaminski Auctions, Beverly, Massachusetts, May 10, 2014, lot 4101A; private collection, New Jersey.",,,776674
102,4000,6000,ALEXANDER CALDER L'Aigle * Le Poisson.,"ALEXANDER CALDER
L'Aigle * Le Poisson.

Two color lithographs, 1975. Both 360x760 mm; 14¼x30 inches, full margins. Both an edition of 100. Both signed and numbered 93/100 and 27/100, respectively, in pencil, lower margin. Both with the Flying Colors Collection 1975 blind stamp, lower right. Both very good impressions.",,,770173
103,3000,5000,ALEXANDER CALDER Seahorse.,"ALEXANDER CALDER
Seahorse.

Color lithograph on Japon nacré, 1975. 750x536 mm; 29x21 inches (sheet), full margins. Signed and numbered XX/C in pencil, lower margin. A very good impression with strong colors.",,,776641
104,2000,3000,ALEXANDER CALDER McGovern.,"ALEXANDER CALDER
McGovern.

Color lithograph, 1972. 745x555 mm; 29x22 inches (sheet), full margins. Signed and numbered 29/75 in pencil, lower right. Published by Styria Studios, New York. A very good impression with vibrant colors.",,,776430
105,2500,3500,ALEXANDER CALDER Three McGovern lithographs.,"ALEXANDER CALDER
Three McGovern lithographs.

McGovern, color lithograph on Rives BFK, 1972. Artist's proof, aside from the edition of 200. Signed and inscribed ""EA"" in pencil, lower margin. Published by Styria Studios, Ltd., New York, with the blind stamp lower right * McGovern for McGovernment, color lithograph on Rives BFK, 1972. Artist's proof, aside from the edition of 200. Signed and inscribed ""EA"" in pencil, lower margin. Published by Styria Studios, Ltd., New York, with the blind stamp lower right. * McGovern for Government, lithograph on Rives BFK, 1972. Signed and numbered 107/200 in pencil, lower margin. Various sizes and conditions. Very good impressions.",,,776432
106,2000,3000,ALEXANDER CALDER Madison Square Boys Club.,"ALEXANDER CALDER
Madison Square Boys Club.

Color lithograph on Arches, 1974. 812x605 mm; 32x24 inches (sheet), full margins. The deluxe edition of 100, before the artist's initials in the image lower right. Signed and numbered 50/100 in pencil, lower margin. Published by the Madison Square Boys Club, New York. A very good impression with strong colors.The Madison Square Boys & Girls Club (formerly the Madison Square Boys Club) was founded in 1884 to provide recreational and vocational programs to keep youths away from gang activity on the east side of Manhattan. Founded in a vacant store on First Avenue and 37th Street and operating as a mission of the Madison Square Church, the club relocated within the community several times before becoming an organization independent of the church in 1902. In 1984 the club changed its name to reflect the increased female participation in programs and became the Madison Square Boys & Girls Club.",,,775892
107,4000,6000,ALEXANDER CALDER Carnival in Rio.,"ALEXANDER CALDER
Carnival in Rio.

Color lithograph on cream wove paper, 1971. 795x1115 mm; 31½x44 inches (sheet), full margins. Signed and numbered 12/20 in pencil, lower margin. With the artist's copyright and date ink stamp, verso. A very good impression of this large, extremely scarce lithograph with strong colors.",,,770169
108,1500,2500,ALEXANDER CALDER Boomerang.,"ALEXANDER CALDER
Boomerang.

Color lithograph on Arches, 1974. 1110x750 mm; 43x29½ full margins. Edition of 750. Printed by Mourlot, Paris. Published by Transworld Art, New York. A very good impression of this large lithograph with strong colors.",,,776693
109,5000,8000,ALEXANDER CALDER Our Unfinished Revolution.,"ALEXANDER CALDER
Our Unfinished Revolution.

Portfolio with complete text and 10 color lithographs, 1975-76. 555x760 mm; 21x30 inches (sheets), full margins, loose as issued.One of 250 copies, with the printed signature and date on offset paper. Printed by Mourlot, Paris. Published by Alba Editions, Inc., New York.With the original card portfolio printed with cover designed by the artist.The Our Unfinished Revolution portfolio (see lots 100, 110-112) was created to aid the National Emergency Civil Liberties Committee on its 25th anniversary.",,,770163
110,2500,3500,ALEXANDER CALDER Our Unfinished Revolution (White Circles and Ellipses).,"ALEXANDER CALDER
Our Unfinished Revolution (White Circles and Ellipses).

Color lithograph, 1975-76. 555x760 mm; 21x30 inches (sheet), full margins. Signed and numbered 2/175 in pencil, lower margin. Printed by Mourlot, Paris. Published by Alba Editions, Inc., New York. From the same-titled portfolio. A very good impression with vibrant colors.The Our Unfinished Revolution portfolio (see lots 100, lot 109, 111-112) was created to aid the National Emergency Civil Liberties Committee on its 25th anniversary.",,,771658
111,2500,3500,ALEXANDER CALDER Our Unfinished Revolution (Circle with Eyes).,"ALEXANDER CALDER
Our Unfinished Revolution (Circle with Eyes).

Color lithograph, 1975-76. 555x760 mm; 21x30 inches (sheet), full margins. Signed and numbered 2/175 in pencil, lower margin. Printed by Mourlot, Paris. Published by Alba Editions, Inc., New York. From the same-titled portfolio. A very good impression with vibrant colors.The Our Unfinished Revolution portfolio (see lots 100, 109-112) was created to aid the National Emergency Civil Liberties Committee on its 25th anniversary.",,,771657
112,2500,3500,ALEXANDER CALDER Our Unfinished Revolution (Circles).,"ALEXANDER CALDER
Our Unfinished Revolution (Circles).

Color lithograph, 1975-76. 555x760 mm; 21x30 inches (sheet), full margins. Signed and numbered 2/175 in pencil, lower margin. Printed by Mourlot, Paris. Published by Alba Editions, Inc., New York. From the same-titled portfolio. A very good impression with vibrant colors.The Our Unfinished Revolution portfolio (see lots 100, 109-112) was created to aid the National Emergency Civil Liberties Committee on its 25th anniversary.",,,771659
113,2500,3500,ALEXANDER CALDER Un Drôle de Poisson.,"ALEXANDER CALDER
Un Drôle de Poisson. 

Color lithograph on Rives BFK, 1965. 505x655 mm; 20x25½ inches, full margins. Signed and numbered 86/90 in pencil, lower margin. Published by Maeght, Paris. A very good impression with strong colors.",,,775712
114,2000,3000,ALEXANDER CALDER Black Sun.,"ALEXANDER CALDER
Black Sun.

Color lithograph, circa 1975. 787x584 mm; 31x23 inches (sheet), full margins. Signed and numbered 118/125 in pencil, lower margin. A very good impression.",,,775716
115,2000,3000,ALEXANDER CALDER Red and Yellow Circles.,"ALEXANDER CALDER
Red and Yellow Circles.

Color lithograph, circa 1975. 533x755 mm; 21x29¾ inches (sheet), full margins. Signed and numbered 21/99 in pencil, lower margin. A very good impression.",,,775717
116,2000,3000,ALEXANDER CALDER Spirals.,"ALEXANDER CALDER
Spirals.

Color lithograph Rives BFK, 1969. 890x600 mm; 35x23 inches (sheet), full margins. Signed and numbered 105/120 in pencil, lower margin. A very good impression.",,,774156
117,2000,3000,"ALEXANDER CALDER Red, Yellow and Blue Coral with Shells.","ALEXANDER CALDER
Red, Yellow and Blue Coral with Shells.

Color lithograph on Arches, circa 1970. 690x990 mm; 27¼x39 inches (sheet), full margins. Artist's proof, aside from the edition of 125. Signed and inscribed ""E.A."" in pencil, lower margin.",,,775718
118,1500,2500,ALEXANDER CALDER Stabiles.,"ALEXANDER CALDER
Stabiles.

Color lithograph, 1963. 453x571 mm; 17¾x22½ inches (sheet), full margins. Signed and numbered 27/125 in pencil, lower margin. Printed and published by Maeght, Paris. From the deluxe edition of Derrière le Miroir #141. A very good impression with strong colors.",,,775708
119,4000,6000,MANUEL MARÍN Sans titre (rouge).,"MANUEL MARÍN
Sans titre (rouge). 

Painted steel stabile, circa 2000. 580x1040 mm; 22½x41 inches. With the artist's incised signature on the base.",,,775991
120,4000,6000,MANUEL MARÍN Sans titre (bleue).,"MANUEL MARÍN
Sans titre (bleue).

Painted steel stabile, circa 2000. 695x1020 mm; 27x40¼ inches. With the artist's incised signature on the base.",,,775992
121,6000,9000,MANUEL MARÍN Sans titre.,"MANUEL MARÍN
Sans titre.

Painted steel mobile, circa 2000. 2159 mm; 85 inches (furthest distance end to end). With the artist's incised signature on the largest element.Marín (1942-2007) was born in Spain where he trained as a bullfighter in his teens. After traveling to London in 1962, where he worked with Henry Moore (1898-1986), Marín moved to New York in 1964 and, six years later, had his first solo exhibition at the Alan Brown Gallery, Scarsdale, New York.",,,775989
122,1500,2500,"JOHN CHAMBERLAIN Out to Lunch, Drop a Line.","JOHN CHAMBERLAIN
Out to Lunch, Drop a Line.

Color aquatint on Arches, 1987. 607x895 mm; 24x35½ inches, full margins. Signed and numbered 3/48 in pencil, lower margin. Published by Novak Graphics, Toronto, with the black ink stamp, verso, and the blind stamp, lower right. A very good impression with strong colors.",,,776875
123,3000,5000,JOHN CHAMBERLAIN Lovely in All Particulars.,"JOHN CHAMBERLAIN
Lovely in All Particulars.

Color monotype, 1993. 1055x746 mm; 41½x29½ inches (sheet), full margins. Signed and titled in pencil, lower margin, and with the artist's signature black ink stamp, lower right. Published by Novak Graphics, Toronto, with the black ink stamp, verso, and the blind stamp, lower right. A superb impression with vibrant colors.",,,776442
124,4000,6000,TONY ROSENTHAL Maquette for T-Square (a).,"TONY ROSENTHAL
Maquette for T-Square (a).

Black steel, 1975-76. 570x410x380 mm; 22½x16¼x15 inches.Ex-collection private collection, Chicago.A study for the large-scale outdoor steel sculpture by Rosenthal (1914-2009) at the Cranbrook Art Museum, Bloomfield Hills.",,,776726
125,3000,5000,TONY ROSENTHAL Maquette for T-Square (a).,"TONY ROSENTHAL
Maquette for T-Square (a).

Black steel, 1975-76. 735x430x495 mm; 29x17x19½ inches.Ex-collection private collection, Chicago.A study for the large-scale outdoor steel sculpture by Rosenthal (1914-2009) at the Cranbrook Art Museum, Bloomfield Hills.",,,776727
126,2500,3500,MARK DI SUVERO Untitled.,"MARK DI SUVERO
Untitled.

Torch-cut steel multiple in five pieces, 1972.  251x200 mm; 9x7 inches. Initialed, dated and numbered 70/250 (engraved on the underside of one piece). Published by Gemini G.E.L., Los Angeles, with the engraved publisher's mark underside of one piece.",,,776729
127,1000,1500,PAUL JENKINS Untitled (Atelier Mourlot).,"PAUL JENKINS
Untitled (Atelier Mourlot).

Color lithograph on Arches, 1966. 762x558 mm; 30¼x22 inches (sheet), full margins. The deluxe edition of 130, before letters. Signed and numbered 82/130 in pencil, lower right. Printed by Bank Street Atelier, Ltd., New York. Published by Mourlot, New York. A very good impression with strong colors.",,,776710
128,1000,1500,JAMES BROOKS Concord.,"JAMES BROOKS
Concord. 

Color screenprint, 1975. 715x520 mm; 28¼x20 inches, full margins. Signed, dated and numbered 191/200 in pencil, lower margin. Printed by Styria Studio, New York, with the blind stamp, lower right. Published by APC Editions, New York. From America: The Third Century. A very good impression with vibrant colors.",,,775278
129,1000,1500,ROBERT GOODNOUGH Untitled.,"ROBERT GOODNOUGH
Untitled.

Color screenprint on white wove paper, 1968. 560x765 mm; 22x30 inches (sheet), full margins. Signed, dated and numbered 114/150 in pencil, lower margin. Published by Tibor Nagy Editions, New York. From One Two Three. A very good impression with strong colors.",,,775272
130,7000,10000,JOHN GRILLO Untitled.,"JOHN GRILLO
Untitled.

Oil on canvas, 1951. 430x585 mm; 17x23 inches. Signed and dated in oil, verso.Ex-collection the artist (1917-2014); donated by the artist to benefit the Anthology Film Archives, New York; sold to benefit the acquisitions fund.Grillo (1917-2014) was born in Lawrence, Massachusetts and moved with his family to Hartford where he entered at the Hartford School of Fine Arts in 1935. In the early part of his career, he was drawn to Social Realism and Regionalist movements. He turned towards abstraction after World War II (he served in the Navy) and lived in San Francisco for two years, enrolling in the San Francisco School of Fine Arts in 1946. Subsequently, he moved to the East Coast to study with Hans Hofmann (1880-1966), and befriended many artists of the New York Abstract Expressionist movement, including Willem de Kooning (1904-1997, see lots 5-10), Franz Kline (1910-1962) and Mark Rothko (1903-1970). His signature grid-like paintings, like the current work, were developed during this period when he was experimenting with symbolism and action painting. His work evolved over the years to become more figural and he taught later at the University of Massachusetts, Amherst for over 25 years.",,,775342
131,2000,3000,JOHN GRILLO Untitled.,"JOHN GRILLO
Untitled.

Color paper collage, 1958. 290x235 mm; 11x9¼ inches. Signed and dated in pencil, lower right recto, and signed, dated, and inscribed ""#304"" in crayon on the frame back.Ex-collection private collection, Stockholm.",,,775704
132,10000,15000,"THEODOROS STAMOS Infinity Field, Lefkada Series.","THEODOROS STAMOS
Infinity Field, Lefkada Series.

Acrylic on paper, 1974. 570x770 mm; 22½x30½ inches. Signed, titled and dated in pencil, verso.Ex-collection private collection, New York.",,,776379
133,20000,30000,JULES OLITSKI Divine Hostage--3.,"JULES OLITSKI
Divine Hostage--3.

Acrylic on canvas, 1973. 2185x915 mm; 86x36 inches. Signed, titled and dated in acrylic, verso.Ex-collection Nina Freudenheim Gallery, Buffalo, with the label on the frame back and the stock number ""73/019""; acquired from above in the 1980s by current owner, private collection, Buffalo.",,,771392
134,2500,3500,JIMMY ERNST Untitled.,"JIMMY ERNST
Untitled.

Gouache on paper, 1980. 360x509 mm; 14x20 inches. Signed and dated in gouache, lower right recto.Acquired directly from the artist; private collection, New York sold Christie's, New York, September 18-30, 2014, sale 3839, lot 115; private collection, New Jersey.",,,776670
135,1000,1500,PAUL MANSOUROFF Untitled.,"PAUL MANSOUROFF
Untitled.

Portfolio with complete text and 12 color lithographs on Arches, 1967. 255x140 mm; 10x5½ inches (sheets), full margins, loose as issued. Edition of 100. Each color lithograph signed in blue pencil, lower margin. Numbered ""011"" on the justification page. Printed by Georges Clot, Paris. Published by Daniel Gervis, Paris. With the original paper folder. Very good impressions.Mansouroff (Pavel Mansurov, 1896-1884) was born in St. Petersburg, Russia. He was drawn into the circle of Russian avant-garde artists and established connections with Vladimir Tatlin (1885-1953) and Kazimir Malevich (1879-1935). Though he ventured out of the Suprematist and Constructivist styles, he remained an experimental abstract artist focused on the treatment of line and form throughout his career. In 1928, the artist left the Soviet Union for Italy and made his way to Paris to work alongside Sonia Delaunay (1885-1979, see lot 95 and lot 96) as a textile and graphic arts designer.",,,772301
136,8000,12000,JOSEF ALBERS Sanctuary.,"JOSEF ALBERS
Sanctuary.

Lithograph on Serir Whitewove paper, 1942. 215x398 mm; 8½x18 inches, full margins. Signed, titled, dated and numbered 3/30 in pencil, lower margin. Printed by Reinhard Schulmann, Hickory, North Carolina. From Graphic Tectonics. A very good impression of this extremely scarce lithograph.We have not found another impression at auction in the past 30 years.In 1941, Albers (1888-1976) was invited by Walter Gropius (with whom he collaborated previously at the Bauhaus, Weimar; Gropius was the founder of the famed modern art and design school, Albers was first a student then a young instructor during the early 1920s) to teach at Harvard's Graduate School of Design. While at Harvard he started a series of drawings that aimed to challenge the nature and aims of graphic art. Conventional drawing was based on a modulated line to create the illusion of space on a two-dimensional surface; Albers combined a series of unmodulated thick and thin lines in precisely drawn compositions to show that, even with the constraints of the unmodulated line, graphic art could achieve movement and depth on the page.The drawings formed the basis for a series of lithographs the following year. The Graphic Tectonics series marked a shift in Albers' printmaking output. Prior to this, he had been experimenting with drypoint and free-flowing lines. Instead, he turned to using straight-edges to create precise compositions more associated with machine-made than handmade, and the series is a precursor of the work that dominated the remainder of his career, including his iconic exploration of color theory employing squares and other hard-edged geometric forms (see lot 137 and lot 138). Danilowitz 104.",,,776352
137,5000,8000,JOSEF ALBERS Hommage au Carré.,"JOSEF ALBERS
Hommage au Carré.

Color screenprint on J. Perrugot Arches Special MBM paper, 1965. 284x284 mm; 11x11 inches, wide margins.  Initialed, dated ""64"" and numbered 114/125 in pencil, lower margin. Printed by Atelier Arcay, Paris. Published by Editions Denise René, Paris. A very good impression with strong colors. Danilowitz 160.6.",,,776720
138,2000,3000,JOSEF ALBERS I-S Va 2.,"JOSEF ALBERS
I-S Va 2.

Color screenprint on Arches, 1969. 546x660 mm; 21½x26 inches, full margins. Signed, titled, dated and numbered 139/150 in pencil, lower margin. Printed at Sirocco Screenprints, New Haven. Published by Ives-Sillman, Inc., New Haven, with the blind stamp, lower right. From Six Variants. A very good impression with strong colors. Danilowitz 192.2.",,,776127
139,12000,18000,ANNI ALBERS Connections 1925/1983.,"ANNI ALBERS
Connections 1925/1983.

Portfolio with complete text and 9 color screenprints on 150-gram Umbria paper, 1984. 700x497 mm; 27x19½ inches (sheets), full margins, loose as issued.One of 125 numbered copies. Numbered ""17"" in pencil, on the justification page. Each color screenprint signed, dated and numbered 17/125 in pencil, lower margin. Printed by Samuele Villa, Muggiò. Published by Fausta Squatriti, Milan. With the original printed cardboard portfolio folder. Superb, richly-inked impressions of these scarce screenprints.The portfolio is a survey of Albers' (1899-1994) graphic work from 1925 to 1983. According to the introduction by Squatriti, ""Anni Albers has always thought that art is the continuation and the development of the ancient craftmanship on a plane no longer practical but purely intellectual. Her graphic work, therefore, has the value of a profound analysis of the logical structure of perception or, more precisely, of the substantial unity of the sensorial and the psychological moments of vision: in other words, of the active, and not merely receptive, character of vision. This publication of very limited selection of her graphic work is an homage to an authentic artist, who in fifty years of dedicated work has chosen above all to remain faithful to the glorious school in which she was trained and to the aesthetics and ethics of art which she learned. Always modern, she has never sought the new for its own sake. Serenely she has followed the thread of her first research, working with it, making it into context, without ever repeating or boring herself.""",,,776335
140,1000,1500,VICTOR VASARELY Altai.,"VICTOR VASARELY
Altai.

Screenprint, 1955. 480x395 mm; 19x15 inches, full margins. Signed in pencil, lower right, and numbered 45/150 in ink, lower left. From Album I. A very good impression.With–Altair-Neg, screenprint on heavy cardstock, 1960s. 400x325 mm; 15¾x12 inches. Published by Éditions Denise René, Paris, with the ink stamp, verso. A very good impression.",,,774571
141,1500,2500,VICTOR VASARELY Koska MC.,"VICTOR VASARELY
Koska MC.

Color screenprint on card stock, 1970. 505x505 mm; 20x20 inches, full margins. Signed and numbered 106/250 in pencil, lower margin. A very good impression with strong colors.",,,775744
142,2000,3000,VICTOR VASARELY Two color screenprints.,"VICTOR VASARELY
Two color screenprints.

Composition (noir et Bleu), color screenprint on heavy, smooth cream wove paper, circa 1970. 600x600 mm; 23½x23½ inches, full margins. Signed and numbered 78/200 in pencil, lower margin. Published by Éditions Denise René, Paris, with the blind stamp, lower left. * Zoeld, color screenprint on museum board, 1975. 705x705 mm; 27x27 inches. Signed in ink, lower right recto, and numbered 182/200 in ink, verso. Both very good impressions with strong colors.",,,776837
143,1200,1800,ILYA BOLOTOWSKY Column.,"ILYA BOLOTOWSKY
Column.

Plexiglas and color screenprint multiple, circa 1970. 760 mm; 30 inches (height). With the artist's incised signature and numbered XIV/XXV at the base.",,,776753
144,1200,1800,ARTHUR LUIZ PIZA La Grande Rouge.,"ARTHUR LUIZ PIZA
La Grande Rouge.

Color aquatint, etching and embossing on cream wove paper, circa 1960. 770x575 mm; 30½x22 inches, full margins. Artist's proof, aside from the edition of 99. Signed and inscribed ""EA"" in pencil, lower margin. A very good impression with strong colors.",,,776705
